name,description,regular_price,sale_price,stock,sku,category,image_url
AirPods 4,,3499000,2990000,100,,airpods,https://shopdunk.com/images/thumbs/0029778_airpods-4_240.jpeg
AirPods Max cổng USB C 2024,,13990000,12190000,100,,airpods,https://shopdunk.com/images/thumbs/0029786_airpods-max-cong-usb-c-2024_240.jpeg
AirPods Pro (2021),,6790000,4850000,100,,airpods,https://shopdunk.com/images/thumbs/0012020_airpods-pro-2021_240.webp
AirPods Pro 2 (USB-C) 2023,,6790000,5350000,100,,airpods,https://shopdunk.com/images/thumbs/0022022_airpods-pro-2-usb-c-2023_240.jpeg
AirPods Pro 2,,6790000,4990000,100,,airpods,https://shopdunk.com/images/thumbs/0000211_airpods-pro-2_240.png
AirPods Max,,13990000,12590000,100,,airpods,https://shopdunk.com/images/thumbs/0012005_airpods-max_240.webp
EarPods with USB-C,,,550000,100,,airpods,https://shopdunk.com/images/thumbs/0022176_earpods-with-usb-c_240.jpeg
Tai nghe Apple AirPods 3 sạc có dây Lightning,,,5490000,100,,airpods,https://shopdunk.com/images/thumbs/0006057_tai-nghe-apple-airpods-3-sac-co-day-lightning_240.jpeg
Tai nghe Apple AirPods 3 sạc không dây MagSafe,,,5490000,100,,airpods,https://shopdunk.com/images/thumbs/0000230_tai-nghe-apple-airpods-3-sac-khong-day-magsafe_240.png
AirPods 2,,,4390000,100,,airpods,https://shopdunk.com/images/thumbs/0015613_airpods-2_240.jpeg
