name,description,regular_price,sale_price,stock,sku,category,image_url
iPad Air (M3) 11 inch Wi-Fi,,16999000,16390000,100,,ipad,https://shopdunk.com/images/thumbs/0035054_ipad-air-m3-11-inch-wi-fi_240.png
iPad Gen 10 th 10.9 inch WiFi 64GB,,12990000,8390000,100,,ipad,https://shopdunk.com/images/thumbs/0009725_ipad-gen-10-th-109-inch-wifi-64gb_240.png
iPad (A16) 11 inch Wi-Fi,,9999000,8890000,100,,ipad,https://shopdunk.com/images/thumbs/0035754_ipad-a16-11-inch-wi-fi_240.png
iPad (A16) 11 inch Wi-Fi 256GB,,12999000,11290000,100,,ipad,https://shopdunk.com/images/thumbs/0035888_ipad-a16-11-inch-wi-fi-256gb_240.png
iPad (A16) 11 inch Wi-Fi 512GB,,17999000,16690000,100,,ipad,https://shopdunk.com/images/thumbs/0035889_ipad-a16-11-inch-wi-fi-512gb_240.png
iPad (A16) 11 inch Wi-Fi + Cellular,,13999000,12790000,100,,ipad,https://shopdunk.com/images/thumbs/0035923_ipad-a16-11-inch-wi-fi-cellular_240.png
iPad (A16) 11 inch Wi-Fi + Cellular 256GB,,16499000,15290000,100,,ipad,https://shopdunk.com/images/thumbs/0035948_ipad-a16-11-inch-wi-fi-cellular-256gb_240.png
iPad (A16) 11 inch Wi-Fi + Cellular 512GB,,21990000,20690000,100,,ipad,https://shopdunk.com/images/thumbs/0035981_ipad-a16-11-inch-wi-fi-cellular-512gb_240.png
iPad mini 6,,14990000,10790000,100,,ipad,https://shopdunk.com/images/thumbs/0000593_ipad-mini-6_240.png
iPad gen 9 10.2 inch WiFi 64GB,,9990000,6790000,100,,ipad,https://shopdunk.com/images/thumbs/0006205_ipad-gen-9-102-inch-wifi-64gb_240.png
iPad mini (A17 Pro) Wi-Fi 128GB,,,13990000,100,,ipad,https://shopdunk.com/images/thumbs/0030994_ipad-mini-a17-pro-wi-fi-128gb_240.jpeg
iPad Air (M3) 13 inch Wi-Fi,,22499000,21990000,100,,ipad,https://shopdunk.com/images/thumbs/0035136_ipad-air-m3-13-inch-wi-fi_240.png
iPad Air (M3) 11 inch Wi-Fi 256GB,,18990000,19290000,100,,ipad,https://shopdunk.com/images/thumbs/0035137_ipad-air-m3-11-inch-wi-fi-256gb_240.png
iPad Air (M3) 11 inch Wi-Fi 512GB,,24999000,24590000,100,,ipad,https://shopdunk.com/images/thumbs/0035178_ipad-air-m3-11-inch-wi-fi-512gb_240.png
iPad Air (M3) 11 inch Wi-Fi 1TB,,30499000,30490000,100,,ipad,https://shopdunk.com/images/thumbs/0035219_ipad-air-m3-11-inch-wi-fi-1tb_240.png
iPad Air (M3) 13 inch Wi-Fi 256GB,,24999000,24790000,100,,ipad,https://shopdunk.com/images/thumbs/0035260_ipad-air-m3-13-inch-wi-fi-256gb_240.png
