name,description,regular_price,sale_price,stock,sku,category,image_url
MacBook Air M1 2020 (8GB RAM | 256GB SSD),,28990000,16390000,100,,mac,https://shopdunk.com/images/thumbs/0034121_macbook-air-m1-2020-8gb-ram-256gb-ssd_240.jpeg
MacBook Pro 16 inch M3 Pro 2023 (18GB RAM| 18 core GPU| 512GB SSD),,64990000,63490000,100,,mac,https://shopdunk.com/images/thumbs/0022586_macbook-pro-16-inch-m3-pro-2023-18gb-ram-18-core-gpu-512gb-ssd_240.jpeg
MacBook Air M4 13 inch (8 core GPU | 16GB RAM | 256GB SSD),,26999000,25990000,100,,mac,https://shopdunk.com/images/thumbs/0036014_macbook-air-m4-13-inch-8-core-gpu-16gb-ram-256gb-ssd_240.jpeg
MacBook Air M4 13 inch (10 core GPU | 16GB RAM | 512GB SSD),,31999000,31290000,100,,mac,https://shopdunk.com/images/thumbs/0036059_macbook-air-m4-13-inch-10-core-gpu-16gb-ram-512gb-ssd_240.jpeg
MacBook Air M4 13 inch (10 core GPU | 24GB RAM | 512GB SSD),,36999000,36990000,100,,mac,https://shopdunk.com/images/thumbs/0036104_macbook-air-m4-13-inch-10-core-gpu-24gb-ram-512gb-ssd_240.jpeg
MacBook Air M4 15 inch (10 core GPU | 16GB RAM | 256GB SSD),,31999000,31990000,100,,mac,https://shopdunk.com/images/thumbs/0036194_macbook-air-m4-15-inch-10-core-gpu-16gb-ram-256gb-ssd_240.jpeg
MacBook Air M4 15 inch (10 core GPU | 16GB RAM | 512GB SSD),,36999000,36990000,100,,mac,https://shopdunk.com/images/thumbs/0036195_macbook-air-m4-15-inch-10-core-gpu-16gb-ram-512gb-ssd_240.jpeg
MacBook Air M4 15 inch (10 core GPU | 24GB RAM | 512GB SSD),,41999000,41990000,100,,mac,https://shopdunk.com/images/thumbs/0036240_macbook-air-m4-15-inch-10-core-gpu-24gb-ram-512gb-ssd_240.jpeg
Mac Studio M4 Max,,,57999000,100,,mac,https://shopdunk.com/images/thumbs/0036285_mac-studio-m4-max_240.jpeg
Mac Studio M3 Ultra,,,115999000,100,,mac,https://shopdunk.com/images/thumbs/0036294_mac-studio-m3-ultra_240.jpeg
